Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kanton;E;N;Sprache;Validity;Bezirks-nummer;Bezirksname;Einwohner;Einwohnerdichte;Fahrraddiebstahl_pro1000Einwohner
Erlenbach im Simmental;3762;0;Erlenbach im Simmental;763;BE;7.523557891;46.65693069;de;01.07.2008;249;Frutigen-Niedersimmental;41420;53.5;1.15
Weissenburg;3764;0;Oberwil im Simmental;766;BE;7.46937986;46.65505859;de;01.07.2008;249;Frutigen-Niedersimmental;41420;53.5;1.15
Oberwil im Simmental;3765;0;Oberwil im Simmental;766;BE;7.421222993;46.66765195;de;01.07.2008;249;Frutigen-Niedersimmental;41420;53.5;1.15
Boltigen;3766;0;Oberwil im Simmental;766;BE;7.420858712;46.6366114;de;01.07.2008;249;Frutigen-Niedersimmental;41420;53.5;1.15
Zwieselberg;3645;2;Reutigen;767;BE;7.615704153;46.71070749;de;01.07.2008;247;Thun;109442;339.9;3.73
Reutigen;3647;0;Reutigen;767;BE;7.604870816;46.69369608;de;01.07.2008;247;Thun;109442;339.9;3.73
Gwatt (Thun);3645;0;Spiez;768;BE;7.63116049;46.71689422;de;01.07.2008;249;Frutigen-Niedersimmental;41420;53.5;1.15
Einigen;3646;0;Spiez;768;BE;7.64660978;46.70321145;de;01.07.2008;249;Frutigen-Niedersimmental;41420;53.5;1.15
Spiez;3700;0;Spiez;768;BE;7.671565566;46.68080917;de;01.07.2008;249;Frutigen-Niedersimmental;41420;53.5;1.15
Hondrich;3702;0;Spiez;768;BE;7.681321108;46.67252537;de;01.07.2008;249;Frutigen-Niedersimmental;41420;53.5;1.15
Krattigen;3704;0;Spiez;768;BE;7.714230438;46.66136838;de;01.07.2008;249;Frutigen-Niedersimmental;41420;53.5;1.15
Faulensee;3705;0;Spiez;768;BE;7.700356147;46.67236273;de;01.07.2008;249;Frutigen-Niedersimmental;41420;53.5;1.15
Emdthal;3711;0;Wimmis;769;BE;7.679862939;46.65174082;de;01.07.2008;249;Frutigen-Niedersimmental;41420;53.5;1.15
Wimmis;3752;0;Wimmis;769;BE;7.643088808;46.66444142;de;01.07.2008;249;Frutigen-Niedersimmental;41420;53.5;1.15
Hoefen b. Thun;3631;0;Stocken-Hoefen;770;BE;7.564134668;46.72148707;de;01.07.2008;247;Thun;109442;339.9;3.73
Niederstocken;3632;2;Stocken-Hoefen;770;BE;7.572670206;46.70245124;de;01.07.2008;247;Thun;109442;339.9;3.73
Oberstocken;3632;3;Stocken-Hoefen;770;BE;7.549856298;46.70720461;de;01.07.2008;247;Thun;109442;339.9;3.73
Guttannen;3864;0;Guttannen;782;BE;8.304150837;46.6076451;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Hasliberg Hohfluh;6083;0;Hasliberg;783;BE;8.163682051;46.75341952;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Hasliberg Wasserwendi;6084;0;Hasliberg;783;BE;8.22690179;46.75329803;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Hasliberg Goldern;6085;0;Hasliberg;783;BE;8.196488971;46.73833476;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Hasliberg Reuti;6086;0;Hasliberg;783;BE;8.257609266;46.73032578;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Innertkirchen;3862;0;Innertkirchen;784;BE;8.238415994;46.68713947;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Gadmen;3863;0;Innertkirchen;784;BE;8.363963723;46.70060109;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Brienzwiler;3856;0;Meiringen;785;BE;8.102522884;46.7470176;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Unterbach BE;3857;0;Meiringen;785;BE;8.122558439;46.73720368;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Meiringen;3860;0;Meiringen;785;BE;8.122717001;46.70544428;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Bruenig;3860;4;Meiringen;785;BE;8.131031234;46.76003912;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Rosenlaui;3860;2;Schattenhalb;786;BE;8.154131968;46.67870583;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Schattenhalb;3860;3;Schattenhalb;786;BE;8.165486612;46.68752851;de;01.07.2008;250;Interlaken-Oberhasli;48753;39.7;3.27
Ablaendschen;1657;0;Boltigen;791;BE;7.288496405;46.56253167;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Boltigen;3766;0;Boltigen;791;BE;7.358287523;46.6075914;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Zweisimmen;3770;0;Boltigen;791;BE;7.387055719;46.59456616;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Matten (St. Stephan);3773;0;Lenk;792;BE;7.421266856;46.48404669;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Lenk im Simmental;3775;0;Lenk;792;BE;7.464964545;46.43376753;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
St. Stephan;3772;0;St. Stephan;793;BE;7.393504803;46.49142449;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Matten (St. Stephan);3773;0;St. Stephan;793;BE;7.471997313;46.50932373;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Zweisimmen;3770;0;Zweisimmen;794;BE;7.390233328;46.55998257;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Blankenburg;3771;0;Zweisimmen;794;BE;7.413535915;46.54415925;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Oeschseite;3776;0;Zweisimmen;794;BE;7.343375563;46.52334998;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Saanenmoeser;3777;0;Zweisimmen;794;BE;7.333314542;46.50755433;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Feutersoey;3784;0;Gsteig;841;BE;7.225425367;46.3979244;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Gsteig b. Gstaad;3785;0;Gsteig;841;BE;7.250200125;46.36629592;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Lauenen b. Gstaad;3782;0;Lauenen;842;BE;7.342181281;46.39348699;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Ablaendschen;1657;0;Saanen;843;BE;7.270213924;46.56238055;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Saanenmoeser;3777;0;Saanen;843;BE;7.313691853;46.5128831;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Schoenried;3778;0;Saanen;843;BE;7.278455737;46.50717467;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Gstaad;3780;0;Saanen;843;BE;7.294280234;46.47562734;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Turbach;3781;0;Saanen;843;BE;7.346069088;46.46464761;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Grund b. Gstaad;3783;0;Saanen;843;BE;7.24336022;46.43827479;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Saanen;3792;0;Saanen;843;BE;7.252170518;46.47798503;de;01.07.2008;248;Obersimmental-Saanen;16788;29.2;0.66
Sangernboden;1738;0;Guggisberg;852;BE;7.373774836;46.70735846;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Schwarzenburg;3150;0;Guggisberg;852;BE;7.345356806;46.79592722;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Riffenmatt;3156;0;Guggisberg;852;BE;7.347552798;46.75811242;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Milken;3157;0;Guggisberg;852;BE;7.349314712;46.78524895;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Guggisberg;3158;0;Guggisberg;852;BE;7.320034616;46.7598087;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Riedstaett;3159;0;Guggisberg;852;BE;7.31893322;46.78392163;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Sangernboden;1738;0;Rueschegg;853;BE;7.409540362;46.71046409;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Rueti b. Riggisberg;3099;0;Rueschegg;853;BE;7.440173197;46.7309643;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Mamishaus;3152;0;Rueschegg;853;BE;7.39879535;46.80617689;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Rueschegg Gambach;3153;0;Rueschegg;853;BE;7.376372554;46.77046237;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Rueschegg Heubach;3154;0;Rueschegg;853;BE;7.418581655;46.77139924;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Riffenmatt;3156;0;Rueschegg;853;BE;7.388928302;46.74491538;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Milken;3157;0;Rueschegg;853;BE;7.364132776;46.78417703;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Lanzenhaeusern;3148;0;Schwarzenburg;855;BE;7.363481265;46.84616103;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Schwarzenburg;3150;0;Schwarzenburg;855;BE;7.331457474;46.81367481;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Mamishaus;3152;0;Schwarzenburg;855;BE;7.377551333;46.81577023;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Rueschegg Heubach;3154;0;Schwarzenburg;855;BE;7.399164546;46.80132672;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Milken;3157;0;Schwarzenburg;855;BE;7.36555544;46.79394274;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Albligen;3183;0;Schwarzenburg;855;BE;7.322564307;46.84875421;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Zimmerwald;3086;0;Belp;861;BE;7.485735187;46.88514679;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Gerzensee;3115;0;Belp;861;BE;7.541042284;46.86519323;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Kehrsatz;3122;0;Belp;861;BE;7.480972154;46.89759399;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Belp;3123;0;Belp;861;BE;7.507285725;46.89339931;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Belpberg;3124;0;Belp;861;BE;7.524294593;46.86729942;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Toffen;3125;0;Belp;861;BE;7.504154315;46.86301217;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Burgistein;3664;0;Burgistein;863;BE;7.501752312;46.79073067;de;01.07.2008;247;Thun;109442;339.9;3.73
Wattenwil;3665;0;Burgistein;863;BE;7.495666479;46.77945441;de;01.07.2008;247;Thun;109442;339.9;3.73
Gerzensee;3115;0;Gerzensee;866;BE;7.541378801;46.84958219;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Gurzelen;3663;0;Gurzelen;867;BE;7.535268153;46.77174835;de;01.07.2008;247;Thun;109442;339.9;3.73
Burgistein;3664;0;Gurzelen;867;BE;7.51804096;46.78349084;de;01.07.2008;247;Thun;109442;339.9;3.73
Jaberg;3629;3;Jaberg;868;BE;7.565958361;46.81948586;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Kaufdorf;3126;0;Kaufdorf;869;BE;7.494957415;46.83968929;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Kehrsatz;3122;0;Kehrsatz;870;BE;7.467657755;46.91319764;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Belp;3123;0;Kehrsatz;870;BE;7.48135782;46.90307507;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Gerzensee;3115;0;Kirchdorf (BE);872;BE;7.52891939;46.83422064;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Kirchdorf BE;3116;0;Kirchdorf (BE);872;BE;7.542024392;46.81779442;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Muehledorf BE;3116;2;Kirchdorf (BE);872;BE;7.531366216;46.82708624;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Noflen BE;3116;3;Kirchdorf (BE);872;BE;7.541551091;46.80177634;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Toffen;3125;0;Kirchdorf (BE);872;BE;7.506034695;46.8556243;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Gelterfingen;3126;2;Kirchdorf (BE);872;BE;7.517880241;46.84238464;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Kiesen;3629;0;Kirchdorf (BE);872;BE;7.563948478;46.81074353;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Zimmerwald;3086;0;Niedermuhlern;877;BE;7.468642115;46.86993883;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Niedermuhlern;3087;0;Niedermuhlern;877;BE;7.457319466;46.85996315;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Rueti b. Riggisberg;3099;0;Riggisberg;879;BE;7.459228158;46.75824533;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Ruemligen;3128;2;Riggisberg;879;BE;7.491511008;46.82723918;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Riggisberg;3132;0;Riggisberg;879;BE;7.465747963;46.80688417;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Burgistein;3664;0;Riggisberg;879;BE;7.491215538;46.7827006;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Niedermuhlern;3087;0;Rueeggisberg;880;BE;7.435206623;46.85045047;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Rueeggisberg;3088;0;Rueeggisberg;880;BE;7.438119962;46.8241826;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Oberbuetschel;3088;2;Rueeggisberg;880;BE;7.458165045;46.83987235;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Hinterfultigen;3089;0;Rueeggisberg;880;BE;7.404667799;46.83782293;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Rueti b. Riggisberg;3099;0;Rueeggisberg;880;BE;7.453417687;46.71911961;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Riggisberg;3132;0;Rueeggisberg;880;BE;7.475779875;46.82086758;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Rueschegg Heubach;3154;0;Rueeggisberg;880;BE;7.420626425;46.79275573;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Helgisried-Rohrbach;3155;0;Rueeggisberg;880;BE;7.417246803;46.81111737;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Seftigen;3662;0;Seftigen;883;BE;7.539374584;46.79089678;de;01.07.2008;247;Thun;109442;339.9;3.73
Belp;3123;0;Toffen;884;BE;7.493936564;46.87612863;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Toffen;3125;0;Toffen;884;BE;7.494613647;46.86081267;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Uttigen;3628;0;Uttigen;885;BE;7.571076956;46.79673569;de;01.07.2008;247;Thun;109442;339.9;3.73
Burgistein;3664;0;Wattenwil;886;BE;7.516873306;46.78380886;de;01.07.2008;247;Thun;109442;339.9;3.73
Wattenwil;3665;0;Wattenwil;886;BE;7.488655547;46.75886641;de;01.07.2008;247;Thun;109442;339.9;3.73
Zimmerwald;3086;0;Wald (BE);888;BE;7.463667833;46.87970947;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Englisberg;3086;2;Wald (BE);888;BE;7.463699904;46.89532255;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Niedermuhlern;3087;0;Wald (BE);888;BE;7.442234335;46.86527889;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Oberbalm;3096;0;Wald (BE);888;BE;7.437116235;46.87200993;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Muehlethurnen;3127;0;Thurnen;889;BE;7.509656382;46.81590618;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Lohnstorf;3127;2;Thurnen;889;BE;7.510884683;46.80659426;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Kirchenthurnen;3128;0;Thurnen;889;BE;7.504075947;46.82433985;de;01.07.2008;246;Bern-Mittelland;425694;451.7;5.91
Aeschau;3536;0;Eggiwil;901;BE;7.783928953;46.90622617;de;01.07.2008;245;Emmental;99561;144.2;3.68
Eggiwil;3537;0;Eggiwil;901;BE;7.806458039;46.8556898;de;01.07.2008;245;Emmental;99561;144.2;3.68
Langnau im Emmental;3550;0;Eggiwil;901;BE;7.794156002;46.91118146;de;01.07.2008;245;Emmental;99561;144.2;3.68
Suederen;3618;0;Eggiwil;901;BE;7.811201718;46.81544194;de;01.07.2008;245;Emmental;99561;144.2;3.68
Schangnau;6197;0;Eggiwil;901;BE;7.83905773;46.83088918;de;01.07.2008;245;Emmental;99561;144.2;3.68
Schuepbach;3535;0;Langnau im Emmental;902;BE;7.757309723;46.93430211;de;01.07.2008;245;Emmental;99561;144.2;3.68
Emmenmatt;3543;0;Langnau im Emmental;902;BE;7.753314791;46.94840475;de;01.07.2008;245;Emmental;99561;144.2;3.68
Langnau im Emmental;3550;0;Langnau im Emmental;902;BE;7.786167931;46.93492142;de;01.07.2008;245;Emmental;99561;144.2;3.68
Oberfrittenbach;3551;0;Langnau im Emmental;902;BE;7.795022182;46.97358029;de;01.07.2008;245;Emmental;99561;144.2;3.68
Baerau;3552;0;Langnau im Emmental;902;BE;7.824791864;46.93593393;de;01.07.2008;245;Emmental;99561;144.2;3.68
Gohl;3553;0;Langnau im Emmental;902;BE;7.831607863;46.98200012;de;01.07.2008;245;Emmental;99561;144.2;3.68
Trubschachen;3555;0;Langnau im Emmental;902;BE;7.824317837;46.92361907;de;01.07.2008;245;Emmental;99561;144.2;3.68
Landiswil;3434;1;Lauperswil;903;BE;7.70315138;46.95264549;de;01.07.2010;245;Emmental;99561;144.2;3.68
Zollbrueck;3436;0;Lauperswil;903;BE;7.760663441;46.97268651;de;01.07.2008;245;Emmental;99561;144.2;3.68
Lauperswil;3438;0;Lauperswil;903;BE;7.727826155;46.96129421;de;01.07.2008;245;Emmental;99561;144.2;3.68
Emmenmatt;3543;0;Lauperswil;903;BE;7.725143035;46.94473201;de;01.07.2008;245;Emmental;99561;144.2;3.68
Langnau im Emmental;3550;0;Lauperswil;903;BE;7.76239607;46.95442878;de;01.07.2008;245;Emmental;99561;144.2;3.68
Oberfrittenbach;3551;0;Lauperswil;903;BE;7.793462714;46.98097761;de;01.07.2008;245;Emmental;99561;144.2;3.68
Bowil;3533;0;Roethenbach im Emmental;904;BE;7.719792053;46.88354621;de;01.07.2008;245;Emmental;99561;144.2;3.68
Eggiwil;3537;0;Roethenbach im Emmental;904;BE;7.794524021;46.82524997;de;01.07.2008;245;Emmental;99561;144.2;3.68
Roethenbach im Emmental;3538;0;Roethenbach im Emmental;904;BE;7.744222833;46.85406721;de;01.07.2008;245;Emmental;99561;144.2;3.68
Heimenschwand;3615;0;Roethenbach im Emmental;904;BE;7.714708333;46.84048276;de;01.07.2008;245;Emmental;99561;144.2;3.68
Suederen;3618;0;Roethenbach im Emmental;904;BE;7.757533026;46.82425204;de;01.07.2008;245;Emmental;99561;144.2;3.68
Luetzelflueh-Goldbach;3432;0;Ruederswil;905;BE;7.686768127;46.99145472;de;01.07.2008;245;Emmental;99561;144.2;3.68
Schwanden im Emmental;3433;0;Ruederswil;905;BE;7.69268974;46.97549668;de;01.07.2008;245;Emmental;99561;144.2;3.68
Zollbrueck;3436;0;Ruederswil;905;BE;7.768839859;46.98285405;de;01.07.2008;245;Emmental;99561;144.2;3.68
Ruederswil;3437;0;Ruederswil;905;BE;7.713613939;46.98636552;de;01.07.2008;245;Emmental;99561;144.2;3.68
Lauperswil;3438;0;Ruederswil;905;BE;7.716293493;46.9605078;de;01.07.2008;245;Emmental;99561;144.2;3.68
Ranflueh;3439;0;Ruederswil;905;BE;7.736234091;46.9855516;de;01.07.2008;245;Emmental;99561;144.2;3.68
Heimisbach;3453;0;Ruederswil;905;BE;7.776131498;46.99116055;de;01.07.2008;245;Emmental;99561;144.2;3.68
Schangnau;6197;0;Schangnau;906;BE;7.87653929;46.81263674;de;01.07.2008;245;Emmental;99561;144.2;3.68
Signau;3534;0;Signau;907;BE;7.735446692;46.90996337;de;01.07.2008;245;Emmental;99561;144.2;3.68
Schuepbach;3535;0;Signau;907;BE;7.744710834;46.93051492;de;01.07.2008;245;Emmental;99561;144.2;3.68
Emmenmatt;3543;0;Signau;907;BE;7.751270515;46.94925557;de;01.07.2008;245;Emmental;99561;144.2;3.68
Eggiwil;3537;0;Trub;908;BE;7.863980364;46.8876542;de;01.07.2008;245;Emmental;99561;144.2;3.68
Baerau;3552;0;Trub;908;BE;7.84142561;46.94995752;de;01.07.2008;245;Emmental;99561;144.2;3.68
Trubschachen;3555;0;Trub;908;BE;7.885740628;46.93336541;de;01.07.2008;245;Emmental;99561;144.2;3.68
Trub;3556;0;Trub;908;BE;7.88490862;46.97011065;de;01.07.2008;245;Emmental;99561;144.2;3.68
Fankhaus (Trub);3557;0;Trub;908;BE;7.924073058;46.98145364;de;01.07.2008;245;Emmental;99561;144.2;3.68
Eggiwil;3537;0;Trubschachen;909;BE;7.83040003;46.8861659;de;01.07.2008;245;Emmental;99561;144.2;3.68
Trubschachen;3555;0;Trubschachen;909;BE;7.842747962;46.91170539;de;01.07.2008;245;Emmental;99561;144.2;3.68
Trub;3556;0;Trubschachen;909;BE;7.852392115;46.93269925;de;01.07.2008;245;Emmental;99561;144.2;3.68
Amsoldingen;3633;0;Amsoldingen;921;BE;7.587264933;46.72403495;de;01.07.2008;247;Thun;109442;339.9;3.73
Blumenstein;3638;0;Blumenstein;922;BE;7.493659687;46.72898241;de;01.07.2008;247;Thun;109442;339.9;3.73
Unterlangenegg;3614;0;Buchholterberg;923;BE;7.684624901;46.80548425;de;01.07.2008;247;Thun;109442;339.9;3.73
Heimenschwand;3615;0;Buchholterberg;923;BE;7.696267557;46.82547771;de;01.07.2008;247;Thun;109442;339.9;3.73
Suederen;3618;0;Buchholterberg;923;BE;7.718133038;46.81841364;de;01.07.2008;247;Thun;109442;339.9;3.73
Bleiken b. Oberdiessbach;3674;0;Buchholterberg;923;BE;7.655699238;46.82280379;de;01.07.2008;247;Thun;109442;339.9;3.73
Schwarzenegg;3616;0;Eriz;924;BE;7.729093748;46.78217404;de;01.07.2008;247;Thun;109442;339.9;3.73
Eriz;3619;0;Eriz;924;BE;7.848686169;46.7815795;de;01.07.2008;247;Thun;109442;339.9;3.73
Schangnau;6197;0;Eriz;924;BE;7.83825923;46.79970954;de;01.07.2008;247;Thun;109442;339.9;3.73
Steffisburg;3612;0;Fahrni;925;BE;7.652803987;46.78393477;de;01.07.2008;247;Thun;109442;339.9;3.73
Fahrni b. Thun;3617;0;Fahrni;925;BE;7.65797267;46.79604057;de;01.07.2008;247;Thun;109442;339.9;3.73
Heiligenschwendi;3625;0;Heiligenschwendi;927;BE;7.678830986;46.75210934;de;01.07.2008;247;Thun;109442;339.9;3.73
Steffisburg;3613;0;Heimberg;928;BE;7.611682014;46.77472491;de;01.07.2008;247;Thun;109442;339.9;3.73
Heimberg;3627;0;Heimberg;928;BE;7.603951044;46.79081882;de;01.07.2008;247;Thun;109442;339.9;3.73
Brenzikofen;3671;0;Heimberg;928;BE;7.612011657;46.80882812;de;01.07.2008;247;Thun;109442;339.9;3.73
Thun;3600;0;Hilterfingen;929;BE;7.638928497;46.7477876;de;01.07.2008;247;Thun;109442;339.9;3.73
Heiligenschwendi;3625;0;Hilterfingen;929;BE;7.656149513;46.75044577;de;01.07.2008;247;Thun;109442;339.9;3.73
Huenibach;3626;0;Hilterfingen;929;BE;7.648794922;46.74683866;de;01.07.2008;247;Thun;109442;339.9;3.73
Hilterfingen;3652;0;Hilterfingen;929;BE;7.662744963;46.74123098;de;01.07.2008;247;Thun;109442;339.9;3.73
Homberg b. Thun;3622;0;Homberg;931;BE;7.682921541;46.77516224;de;01.07.2008;247;Thun;109442;339.9;3.73
Eriz;3619;0;Horrenbach-Buchen;932;BE;7.809186105;46.77800962;de;01.07.2008;247;Thun;109442;339.9;3.73
Horrenbach;3623;2;Horrenbach-Buchen;932;BE;7.744975355;46.77754177;de;01.07.2008;247;Thun;109442;339.9;3.73
Buchen BE;3623;3;Horrenbach-Buchen;932;BE;7.711892967;46.78051125;de;01.07.2008;247;Thun;109442;339.9;3.73
Hilterfingen;3652;0;Oberhofen am Thunersee;934;BE;7.661755203;46.73391123;de;01.07.2008;247;Thun;109442;339.9;3.73
Oberhofen am Thunersee;3653;0;Oberhofen am Thunersee;934;BE;7.673938687;46.73154993;de;01.07.2008;247;Thun;109442;339.9;3.73
Gunten;3654;0;Oberhofen am Thunersee;934;BE;7.688809167;46.71764184;de;01.07.2008;247;Thun;109442;339.9;3.73
Schwarzenegg;3616;0;Oberlangenegg;935;BE;7.737510448;46.79870039;de;01.07.2008;247;Thun;109442;339.9;3.73
Suederen;3618;0;Oberlangenegg;935;BE;7.756653283;46.8112392;de;01.07.2008;247;Thun;109442;339.9;3.73
Pohlern;3638;1;Pohlern;936;BE;7.523676953;46.71785214;de;01.07.2008;247;Thun;109442;339.9;3.73
Eriz;3619;0;Sigriswil;938;BE;7.782730784;46.7612476;de;01.07.2008;247;Thun;109442;339.9;3.73
Teuffenthal b. Thun;3623;0;Sigriswil;938;BE;7.748196578;46.77034055;de;01.07.2008;247;Thun;109442;339.9;3.73
Gunten;3654;0;Sigriswil;938;BE;7.7046546;46.7153475;de;01.07.2008;247;Thun;109442;339.9;3.73
Sigriswil;3655;0;Sigriswil;938;BE;7.734835055;46.71979341;de;01.07.2008;247;Thun;109442;339.9;3.73
Tschingel ob Gunten;3656;0;Sigriswil;938;BE;7.713347197;46.72562367;de;01.07.2008;247;Thun;109442;339.9;3.73
Aeschlen ob Gunten;3656;1;Sigriswil;938;BE;7.695730136;46.72172073;de;01.07.2008;247;Thun;109442;339.9;3.73
Ringoldswil;3656;2;Sigriswil;938;BE;7.69556083;46.73797872;de;01.07.2008;247;Thun;109442;339.9;3.73
Schwanden (Sigriswil);3657;0;Sigriswil;938;BE;7.757088474;46.74438262;de;01.07.2008;247;Thun;109442;339.9;3.73
Merligen;3658;0;Sigriswil;938;BE;7.747105269;46.70113925;de;01.07.2008;247;Thun;109442;339.9;3.73
Steffisburg;3612;0;Steffisburg;939;BE;7.638250765;46.78268272;de;01.07.2008;247;Thun;109442;339.9;3.73
Steffisburg;3613;0;Steffisburg;939;BE;7.614530433;46.77103956;de;01.07.2008;247;Thun;109442;339.9;3.73
Fahrni b. Thun;3617;0;Steffisburg;939;BE;7.657814847;46.78947416;de;01.07.2008;247;Thun;109442;339.9;3.73
Schwendibach;3624;2;Steffisburg;939;BE;7.659527106;46.77082634;de;01.07.2008;247;Thun;109442;339.9;3.73
Heimberg;3627;0;Steffisburg;939;BE;7.60889136;46.78815465;de;01.07.2008;247;Thun;109442;339.9;3.73
Teuffenthal b. Thun;3623;0;Teuffenthal (BE);940;BE;7.70829012;46.76456675;de;01.07.2008;247;Thun;109442;339.9;3.73
Amsoldingen;3633;0;Thierachern;941;BE;7.580594962;46.73554109;de;01.07.2008;247;Thun;109442;339.9;3.73
